Année,Numéro,Titre,Page(s),Auteur(s),Ville(s),Theme(s),Epoque
1998,Mémoire n°14,Actualités : les 20 ans de Bonrepos  Résumé,47,Robert Aillaud,Jarrie,Actualités,
1998,Mémoire n°14,Abbaye de Boscodon : sortie du 6 juin 1998  Résumé,47 à 48,Michel Vial,Crots,Actualités,
1998,Mémoire n°14 bis,Le tour de France en pays Vizillois (n° spécial)  Résumé,01 à 128,"Gérard Mingat ,  Jean Guitton",Pays vizillois,Sport,
1998,Mémoire n°15,Le chatelain d'Herbeys  Résumé,3,Marguerite Vianney-Liaud,Herbeys,Vie locale,
1998,Mémoire n°15,Les cloutiers de St Barthélémy  Résumé,04 à 05,Bernard Mingone,Saint Barthélémy de Séchilienne,"Mines et minéralogie ,  Activités artisanales",
1998,Mémoire n°15,Le président Gaston Doumergue à Prémol  Résumé,06 à 08,Lucienne Cret,Chamrousse,Personnages remarquables,
1998,Mémoire n°15,Le trolleybus du Péage de Vizille  Résumé,09 à 17,Jean Perrin,Vizille,Voies de communication,
1998,Mémoire n°15,VII - Les aventures de Charvet (fin)  Résumé,18 à 31,Gérard Mingat,Vizille,"Grandes périodes ,  Personnages remarquables",
1998,Mémoire n°15,"A la fin du XVIIe siècle, un évêque en visite pastorale dans notre région  Résumé",32 à 42,Michel Vial,"Notre Dame de Mésage ,  Saint Pierre de Mésage","Religions ,  Personnages remarquables",
1998,Mémoire n°15,L'appareil judiciaire grenoblois Napoléon et la magistrature  Résumé,43 à 47,Roger Morard,Grenoble,Vie locale,
1999,Mémoire n°16,Le chateau de Bonrepos  Résumé,04 à 14,Pierre Coing Boyat,Jarrie,Bâtiments et édifices,
1999,Mémoire n°16,L'historique de la fusillade des Tillegrets  Résumé,15,Fernand Boeuf,Saint Georges de Commiers,"Guerres ,  Grandes périodes",
1999,Mémoire n°16,I - Le fort de Montavie : les fortifications  Résumé,16 à 29,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,
1999,Mémoire n°16,L'abjuration  Résumé,30,Germaine Billon,Saint Pierre de Mésage,Documents remarquables,
1999,Mémoire n°16,I - Les visites pastorales du Cardinal Le Camus en Pays Vizillois  Résumé,31 à 44,Michel Vial,"Brié et Angonnes ,  Herbeys","Religions ,  Personnages remarquables",
1999,Mémoire n°16,Jadis et naguère Chamrousse-Béranger  Résumé,45 à 51,Bernadette Belmont,Chamrousse,"Tourisme ,  Lieux remarquables",
1999,Mémoire n°17,II - Le fort de Montavie : un projet de reconversion  Résumé,04 à 14,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,
1999,Mémoire n°17,Un cheval peu ordinaire  Résumé,15,Jeanette Cheveu D'or,Jarrie,"Vie locale ,  Histoires",
1999,Mémoire n°17,Il était une fois Jarrie : la colonie de St Maurice en Trièves  Résumé,16 à 19,Jeanette Cheveu D'or,Jarrie,Vie locale,
1999,Mémoire n°17,La restauration de la chapelle des Angonnes  Résumé,20 à 21,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices ,  Religions",
1999,Mémoire n°17,Comme autrefois  Résumé,22 à 23,Aline Pignat,Notre Dame de Mésage,Vie locale,
1999,Mémoire n°17,Accident du grand mur dans la cote de Laffrey : 25 aout 1946  Résumé,24 à 25,Germaine Billon,Saint Pierre de Mésage,Evènements,
1999,Mémoire n°17,Relation des incidents survenus à Jarrie en juillet et août 44  Résumé,26,Georgette Balor,Jarrie,"Guerres ,  Grandes périodes",
1999,Mémoire n°17,L'art roman dans le canton de Vizille  Résumé,27 à 33,Paul Wohlschlegel,Notre Dame de Mésage,"Bâtiments et édifices ,  Religions",
1999,Mémoire n°17,Chroniques de Champagnier dans les grimoires de Bonrepos  Résumé,34 à 37,Pierre Coing Boyat,Champagnier,"Vie locale ,  Documents remarquables",
1999,Mémoire n°17,II - Les visites pastorales du Cardinal Le Camus en Pays Vizillois  Résumé,38 à 48,Michel Vial,Pays vizillois,"Religions ,  Personnages remarquables",
2000,Mémoire n°18,Il était une fois Jarrie : traditions chrétiennes d'antan  Résumé,04 à 05,Jeanette Cheveu D'or,Jarrie,Religions,
2000,Mémoire n°18,1943 - 1944 : la voiture au gazo de mon père  Résumé,06 à 08,Jean Perrin,Vizille,"Vie locale ,  Guerres ,  Grandes périodes",
2000,Mémoire n°18,29 février 1632 : ordonnance de médecins lyonnais  Résumé,9,Pierre Coing Boyat,Lyon,Médecine,
2000,Mémoire n°18,St Jean de Vaulx  Résumé,10 à 11,Germaine Billon,Saint Jean de Vaux,Vie locale,
2000,Mémoire n°18,Comment Lesdiguières punit cruellement Jacquet le Maraudeur Résumé,12 à 14,Germaine Billon,Vizille,Contes et légendes,
2000,Mémoire n°18,Les distractions vers les années 30  Résumé,15 à 17,Aline Pignat,Notre Dame de Mésage,Vie locale,
2000,Mémoire n°18,"Vizille, camp des veilles ou pays des eaux  Résumé",18 à 22,André Frances,Vizille,"Patois ,  Toponymie",
2000,Mémoire n°18,16 juillt 1911 : Remédo pire que le mâ  Résumé,23,Raymond Joffre,Vaulnaveys le bas,"Patois ,  Toponymie",
2000,Mémoire n°18,III - Les visites pastorales du Cardinal Le Camus en Pays Vizillois Résumé,24 à 35,Michel Vial,"Séchilienne ,  Saint Barthélémy de Séchilienne","Religions ,  Personnages remarquables",
2000,Mémoire n°18,III - Le fort de Montavie : un projt de reconversion  Résumé,36 à 45,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,
2000,Mémoire n°18,Mémoire d'une communauté : visages de Jarrie  Résumé,46 à 47,Robert Aillaud,"Jarrie ,  Vizille",Actualités,
2000,Mémoire n°19,Il était une fois Jarrie : nos pélerinages  Résumé,04 à 05,Jeanette Cheveu D'or,Jarrie,"Vie locale ,  Religions",
2000,Mémoire n°19,La famille de Saint-Léger fête 1000 ans d'histoire  Résumé,06 à 08,Bernard De Saint-Léger,Jarrie,"Généalogie ,  Héraldique",
2000,Mémoire n°19,Sur les traces d'André Charvet : citoyen vizillois  Résumé,9,Robert Aillaud,Vizille,Documents remarquables,
2000,Mémoire n°19,"Belledonne ou ""qui sait le mot sait les choses"" (Platon dans ""Le Cratyle"")  Résumé",10 à 14,Raymond Joffre,Belledonne,"Tourisme ,  Lieux remarquables",
2000,Mémoire n°19,Contrat de mariage  Résumé,15,Yves Marcel,Séchilienne,"Documents remarquables ,  Généalogie , Héraldique",
2000,Mémoire n°19,La chapelle baroque des Angonnes  Résumé,16 à 22,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices ,  Religions",
2000,Mémoire n°19,Déjà la circulation en 1924 : le tramway à Brié  Résumé,23,Pierre Melquiond,Brié et Angonnes,Voies de communication,
2000,Mémoire n°19,IV - Le fort de Montavie : un projet de reconversion (fin)  Résumé,24 à 29,Michaël Galle,Brié et Angonnes,Bâtiments et édifices,
2000,Mémoire n°19,IV - Les visites pastorales du Cardinal Le Camus en pays Vizillois : Notre-Dame de Jarrie  Résumé,30 à 40,Michel Vial,"Champ sur Drac , Jarrie","Religions ,  Personnages remarquables",
2000,Mémoire n°19,Les aventures de Basile Bonnardon : médecin à Vizille au XIXe siècle  Résumé,41 à 45,Robert Aillaud,Vizille,"Personnages remarquables ,  Médecine",
2001,Mémoire n°20,Une affaire entre Casimir Périer et Claude Rouget de Lisle  Résumé,03 à 04,Gérard Mingat,Vizille,"Vie locale ,  Bâtiments et édifices",
2001,Mémoire n°20,1843 : Histoire d'eau - 1852 : Histoire de débit de boisson  Résumé,05 à 06,Bernard Mingone,Séchilienne,Vie locale,
2001,Mémoire n°20,Les fièvres intermittentes à Vaulnaveys au cours du XVIIIe siècle  Résumé,07 à 11,Gérard Mingat,Vaulnaveys le haut,"Vie locale ,  Médecine",
2001,Mémoire n°20,Mon ami le père Paradis : le dernier des tueurs d'ours  Résumé,12 à 13,Roger Morard,Claix,Vie locale,
2001,Mémoire n°20,Le premier gardien de refuge : le père Tasse  Résumé,14 à 24,Raymond Joffre,Chamrousse,"Tourisme ,  Lieux remarquables",
2001,Mémoire n°20,Le bas-relief du château de Vizille  Résumé,25 à 31,Gérard Mingat,Vizille,",  Bâtiments et édifices",
2001,Mémoire n°20,Un faire-part de décès original  Résumé,32 à 33,Gérard Mingat,Vizille,Documents remarquables,
2001,Mémoire n°20,V - Les visites pastorales du Cardinal Le Camus en Pays Vizillois : prieuré de Vaulnaveys Résumé,34 à 44,Michel Vial,Vaulnaveys,"Religions ,  Personnages remarquables",
2001,Mémoire n°20,Enigme à Champanier Printemps 44  Résumé,45,Philippe Vatin-Perignon,Champagnier,"Guerres ,  Grandes périodes",
2001,Mémoire n°20,L'élection de St Pierre de Mésage : février 1790  Résumé,46 à 48,Denis Chambaz,Saint Pierre de Mésage,Vie locale,
2001,Mémoire n°21,Les mémoires du docteur Bonnardon  Résumé,04 à 09,Robert Aillaud,Séchilienne,"Personnages remarquables ,  Médecine",
2001,Mémoire n°21,Des nouvelles de nos chateaux  Résumé,10,Robert Aillaud,Pays vizillois,Actualités,
2001,Mémoire n°21,Le pont de Vizille et son péage  Résumé,11 à 17,Bernard François,Vizille,Voies de communication,
2001,Mémoire n°21,La carte postale témoin de l'histoire  Résumé,18 à 19,Gérard Mingat,Vizille,Documents remarquables,
2001,Mémoire n°21,Le centre de documentation du domaine départemental  Résumé,20,Robert Aillaud,Vizille,Actualités,
2001,Mémoire n°21,L'ours de la Poyat  Résumé,21 à 22,René Faure,Fontaine,Evènements,
2001,Mémoire n°21,"Trois vizilloises dans la vie ""chamboulée"" des normaliennes  Résumé",24 à 29,Aline Pignat,Grenoble,Enseignement,
2001,Mémoire n°21,VI - Les visites pastorales du cardinal Le Camus : pays d'Uriage  Résumé,30 à 43,Michel Vial,Uriage,"Religions ,  Personnages remarquables",
2001,Mémoire n°21,Lieudit et bail à ferme à Jarrie en 1653  Résumé,44 à 47,Pierre Coing Boyat,Jarrie,"Vie locale ,  Documents remarquables",
2002,Mémoire n°22,Votre grand-père fait-il partie de cette brochette de cycliste ?  Résumé,3,Robert Aillaud,Vizille,Sport,
2002,Mémoire n°22,La wehrmacht à Vizille du 10 au 21 aout 1944  Résumé,04 à 11,Jean Perrin,Vizille,"Guerres ,  Grandes périodes",
2002,Mémoire n°22,Raconte grand-père... Souvenirs d'école  Résumé,12 à 13,Jean Perrin,Vizille,Enseignement,
2002,Mémoire n°22,La mairie école des Chaberts  Résumé,14 à 15,Pierre Coing Boyat,Jarrie,Bâtiments et édifices,
2002,Mémoire n°22,Une maison disparue au passé revenu  Résumé,16,Renée Gachet Berthon,Vizille,Bâtiments et édifices,
2002,Mémoire n°22,Trois siècles de mémoire  Résumé,17 à 19,Pierre Melquiond,Brié et Angonnes,Personnages remarquables,
2002,Mémoire n°22,Les présidents de la République vus par un enfant  Résumé,20 à 21,Paul Wohlschlegel,Vizille,Personnages remarquables,
2002,Mémoire n°22,Un blason pour la commune de Brié et Angonnes  Résumé,22,Patrice Dore,Brié et Angonnes,"Généalogie ,  Héraldique",
2002,Mémoire n°22,Un diplôme d'honneur pour Brié et Angonnes  Résumé,23,Jean-Claude Ogier,Brié et Angonnes,Documents remarquables,
2002,Mémoire n°22,Laffrey  Résumé,24 à 30,Germaine Billon,Laffrey,"Vie locale ,  Cuisine et recettes",
2002,Mémoire n°22,I - Les moulins de Jarrie à travers l'histoire  Résumé,31 à 38,Pierre Coing Boyat,Jarrie,Activités agricoles,
2002,Mémoire n°22,I - L'annuaire d'un curé de campagne aux Angonnes  Résumé,39 à 44,Pierre Melquiond,Brié et Angonnes,Religions,
2002,Mémoire n°22,A propos d'un sauvetage  Résumé,45,Adrienne Celso,Jarrie,Evènements,
2002,Mémoire n°22,La mort du maire de Vizille  Résumé,46,Adrienne Celso,Vizille,Evènements,
2002,Mémoire n°23,II - Les moulins de Jarrie à travers l'histoire  Résumé,04 à 12,Pierre Coing Boyat,Jarrie,Activités agricoles,
2002,Mémoire n°23,Le renard et la cigogne  Résumé,13,Albert Ravanat,Pays vizillois,"Patois ,  Toponymie ,  Histoires",
2002,Mémoire n°23,Les sites du canton vous ouvrent leurs portes  Résumé,14 à 16,Pierre Coing Boyat,Pays vizillois,Actualités,
2002,Mémoire n°23,La dolomite de St Pierre de Mésage  Résumé,17 à 26,"Robert Aillaud ,  José Duarte",Saint Pierre de Mésage,Mines et minéralogie,
2002,Mémoire n°23,VII - Les visites pastorales du cardinal Le Camus : la Matheysine (fin) Résumé,27 à 39,Michel Vial,Matheysine,"Bâtiments et édifices ,  Religions ,  Personnages remarquables",
2002,Mémoire n°23,Le domaine Rabit à Herbeys  Résumé,40 à 42,Marguerite Vianney-Liaud,Herbeys,Personnages remarquables,
2002,Mémoire n°23,Mondanité à Grenoble et Vizille - 1950  Résumé,43 à 46,Gérard Mingat,Vizille,Evènements,
2002,Mémoire n°23,Histoire d'ours dans la montagne de Séchilienne  Résumé,47,Bernard Mingone,Séchilienne,Histoires,
2003,Mémoire n°24,Nouvelles histoires d'ours  Résumé,03 à 06,Bernard Mingone,Séchilienne,Histoires,
2003,Mémoire n°24,L'église de Brié  Résumé,07 à 11,Henri Rey,Brié et Angonnes,"Bâtiments et édifices ,  Religions",
2003,Mémoire n°24,Un mésageois à la découverte du monde  Résumé,12 à 22,Germaine Billon,Saint Pierre de Mésage,Personnages remarquables,
2003,Mémoire n°24,Les bassins de Notre-Dame de Mésage  Résumé,23 à 28,Aline Pignat,Notre Dame de Mésage,,
2003,Mémoire n°24,Dendrochronologie  Résumé,29 à 31,Pierre Coing Boyat,Pays vizillois,,
2003,Mémoire n°24,St Sauveur souvenir de guerre  Résumé,32,Roger Finet,Notre Dame de Mésage,"Guerres ,  Grandes périodes",
2003,Mémoire n°24,Les premiers guides dauphinois sont de Belledonne  Résumé,33 à 42,Raymond Joffre,Pays vizillois,"Tourisme ,  Lieux remarquables",
2003,Mémoire n°24,III - Les moulins de Jarrie à travers l'histoire  Résumé,43 à 51,Pierre Coing Boyat,Jarrie,Activités agricoles,
2003,Mémoire n°25,"Les suites du spectacle""A la claire fontaine""  Résumé",4,Robert Aillaud,Pays vizillois,Actualités,
2003,Mémoire n°25,IV - Les moulins de Jarrie à travers l'histoire  Résumé,05 à 15,Pierre Coing Boyat,Pays vizillois,Activités agricoles,
2003,Mémoire n°25,"""La Marianne"" : le monument commémoratif de l'assemble de Vizille  Résumé",26 à 31,Robert Chagny,Vizille,Bâtiments et édifices,
2003,Mémoire n°25,II - L'annuaire d'un curé de campagne aux Angonnes  Résumé,32 à 40,Pierre Melquiond,Brié et Angonnes,"Bâtiments et édifices ,  Religions",
2003,Mémoire n°25,Montjean sur Vizille  Résumé,41 à 48,Bernard Mingone,Vizille,Vie locale,
2004,Mémoire n°26,Herbeys dans l'histoire - La complainte du kiosque  Résumé,04 à 06,Le Kiosque,Herbeys,Evènements,
2004,Mémoire n°26,Les problèmes de la route des Hautes-Alpes  Résumé,07 à 10,Pierre Coing Boyat,Jarrie,Voies de communication,
2004,Mémoire n°26,Histoire de cloche... à Vizille  Résumé,11 à 12,Michel Vial,Vizille,"Bâtiments et édifices ,  Religions",
2004,Mémoire n°26,Les mémoires de Basile Bonnardon  Résumé,13 à 17,Robert Aillaud,Pays vizillois,"Personnages remarquables ,  Médecine",
2004,Mémoire n°26,Le temps des échafaudages  Résumé,18 à 22,Robert Aillaud,Pays vizillois,"Bâtiments et édifices ,  Activités artisanales",
2004,Mémoire n°26,V - Les moulins de Jarrie à travers l'histoire  Résumé,23 à 32,Pierre Coing Boyat,Pays vizillois,Activités agricoles,
2004,Mémoire n°26,A Brié... Des fontaines républicaines et radicales socialistes Résumé,33 à 36,Pierre Melquiond,Brié,"Bâtiments et édifices ,  Eau, rivières, canaux et fontaines",
2004,Mémoire n°26,Autour de la légende du mmur du château de Vizille  Résumé,37 à 41,Jean Guitton,Vizille,Contes et légendes,
2004,Mémoire n°26,Un hôte de marque à Vizille : Jean Jaurès  Résumé,42 à 55,"Gérard Mingat ,  Pierre Coing Boyat",Vizille,"Vie locale ,  Personnages remarquables",
2004,Mémoire n°27,Un peu de nouveauté  Résumé,3,Robert Aillaud,,Vie de l'association,
2004,Mémoire n°27,Assemblé générale des Amis de l'Histoire  Résumé,4,Gaby Vair,Montchaboud,Vie de l'association,
2004,Mémoire n°27,Contribution à l'histoire de la Libération de Vizille. Le 22 aout 1944  Résumé,05 à 08,Jean Perrin,Vizille,"Guerres ,  Grandes périodes",
2004,Mémoire n°27,Les 4 saisons de Léonce et Renée  Résumé,09 à 19,Magali Roux,Jarrie,Activités agricoles,
2004,Mémoire n°27,VI - Les moulins de Jarrie à travers l'histoire  Résumé,20 à 32,Pierre Coing Boyat,Jarrie,Activités agricoles,
2004,Mémoire n°27,Le patronnage Champ - Jarrie  Résumé,33 à 37,Jeanette Cheveu D'or,"Champ sur Drac ,  Jarrie",Vie locale,
2004,Mémoire n°27,Fontaines et bassins de Vaulnaveys-le-Haut  Résumé,38 à 42,"Jean Guitton ,  Renée Guitton",Vaulnaveys le haut,"Eau, rivières, canaux et fontaines",
2004,Mémoire n°27,Le bureau de poste de Brié et Angonnes  Résumé,43 à 47,Pierre Melquiond,Brié et Angonnes,"Vie locale ,  Voies de communication",
2004,Mémoire n°27,Le service postal à Herbeys  Résumé,48 à 49,Marie-Thérèse Emery,Herbeys,"Vie locale ,  Voies de communication",
2004,Mémoire n°27,Mon premier poste d'institutrice  Résumé,50 à 55,Aline Pignat,Séchilienne,Enseignement,
2005,Mémoire n°28,Edito  Résumé,2,Robert Aillaud,,Vie de l'association,
2005,Mémoire n°28,Le saut du moine  Résumé,03 à 07,"Michel Vial ,  Henri Jobert",Jarrie,Contes et légendes,
2005,Mémoire n°28,La fonderie de la mine d'argent de Brandes en Oisans  Résumé,08 à 20,Bernard François,Brandes en Oisans,Mines et minéralogie,
2005,Mémoire n°28,Connaissance et actions du patrimoine  Résumé,21 à 22,Patrice Dore,Brié et Angonnes,"Bâtiments et édifices , Religions",
2005,Mémoire n°28,Le triste sort de Pierre Guymet-Node de Montchaffrey qui avait un peu trop fêté la St-Barthélémy 1805  Résumé,23 à 26,"Gérard Mingat ,  Bernard Mingone","Livet et Gavet , Montchaffrey",Vie locale,
2005,Mémoire n°28,Recherches sur la première église de Vizille  Résumé,27 à 28,Jean-Claude Michel,Vizille,"Bâtiments et édifices , Religions",
2005,Mémoire n°28,VII - Les moulins de Jarrie à travers l'histoire  Résumé,29 à 38,Pierre Coing Boyat,Jarrie,Activités agricoles,
2005,Mémoire n°28,L'hydroscope de Montjean  Résumé,39 à 45,"Jean Guitton ,  Renée Guitton",Montjean,"Eau, rivières, canaux et fontaines",
2005,Mémoire n°28,Commune de Livet et Gavet - Aout 1944  Résumé,46 à 54,Alain Romestant,Livet et Gavet,"Guerres ,  Grandes périodes",
2005,Mémoire n°28,Brié et Angonnes - La commune parraine le village martyr ardennais d'Etrepigny (1920) Résumé,55 à 56,Pierre Melquiond,Brié et Angonnes,"Guerres ,  Grandes périodes",
2005,Mémoire n°29,Des amis de l'histoire à l'honneur  Résumé,02 à 03,,,Vie de l'association,
2005,Mémoire n°29,Souvenirs personnels de la libération de Vizille  Résumé,04 à 07,Jean Guitton,Vizille,"Guerres ,  Grandes périodes",
2005,Mémoire n°29,L'église de Séchilienne  Résumé,08 à 13,Michel Vial,Séchilienne,"Bâtiments et édifices ,  Religions",
2005,Mémoire n°29,Jarrie et ses montagnes  Résumé,14,Jeanette Cheveu D'or,Jarrie,"Lieux du pays vizillois ,  Lieux remarquables",
2005,Mémoire n°29,Ceux du magnésium  Résumé,15,René Villiot,Jarrie,Activités industrielles,
2005,Mémoire n°29,"Mérimée, professeur d'architecture de Stendhal  Résumé",16 à 23,"Geneviève Dumolard ,  ? Murienne",,Personnages remarquables,
2005,Mémoire n°29,La Pauline  Résumé,24 à 25,Denise -,Vizille,Histoires,
2005,Mémoire n°29,"Le chateau de paille : les habitants passent, le cadre reste  Résumé",26 à 33,Peter Fletcher,Vizille,"Vie locale ,  Histoires",
2005,Mémoire n°29,Lucis Baud (1870 - 1913)  Résumé,34 à 54,Gérard Mingat,Vizille,"Vie locale ,  Personnages remarquables",
2006,Mémoire n°30,Une journée festive et conviviale - 100 ans d'école à Vizille  Résumé,2,,Vizille,Vie de l'association,
2006,Mémoire n°30,Un cas de rage à Vizille  Résumé,03 à 07,Pascale Beyls,Vizille,Médecine,
2006,Mémoire n°30,Notre-Dame des Autels à Champ-sur-Drac  Résumé,08 à 15,Michel Vial,Champ sur Drac,"Bâtiments et édifices ,  Religions",
2006,Mémoire n°30,Le tourisme en Oisans  Résumé,16 à 20,Raymond Joffre,L'Oisans,Tourisme,
2006,Mémoire n°30,Visite du château de Vizille en 1628  Résumé,21 à 23,Robert Aillaud,Vizille,Bâtiments et édifices,
2006,Mémoire n°30,Vizille et ses commerces - 1ère partie de la rue Général De Gaulle  Résumé,24 à 34,,Vizille,Vie locale,XXIe siècle
2006,Mémoire n°30,Quatre ans de retard pour la classe  Résumé,35,,Vizille,Vie locale,
2006,Mémoire n°30,L'antiquité du plateau de Champagnier  Résumé,36 à 55,Pierre Melquiond,Champagnier,Archéologie,
2006,Mémoire n°31,"La photographie, irremplacable témoin  Résumé",2,Robert Aillaud,,Vie de l'association,
2006,Mémoire n°31,17 juin 1788 - 14 juillet 1789  Résumé,3,,,Grandes périodes,
2006,Mémoire n°31,Une famille au Bessey d'Oz au siècle dernier  Résumé,04 à 15,Michelle Tournoud,Bessey d'Oz,Vie locale,
2006,Mémoire n°31,"1790 : Dominique Bonnet, curé de St Pierre de Mésage, prête serment à la Constitution Civile du Clergé  Résumé",16 à 19,"Denis Chambaz ,  Pierre Coing Boyat",Saint Pierre de Mésage,"Religions ,  Evènements",
2006,Mémoire n°31,Vizille et ses commerces : la place Stalingrad  Résumé,20 à 28,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
2006,Mémoire n°31,100 ans d'école à Vizille - Encore des témoignages  Résumé,29 à 30,Ecole Paul Langevin,Vizille,Vie locale,
2006,Mémoire n°31,La Fayette à Vizille  Résumé,31 à 33,Germaine Billon,Vizille,"Vie locale ,  Personnages remarquables",
2006,Mémoire n°31,Un café peu ordinaire  Résumé,34 à 36,Paul Wohlschlegel,Rioupéroux,Vie locale,
2006,Mémoire n°31,Souvenirs au fil du temps : les usines de l'Alliance et du Tissage  Résumé,37 à 48,Magali Roux,Vizille,Activités industrielles,
2006,Mémoire n°31,"Commune de Livet et Gavet, aout 1944  Résumé",49 à 50,Alain Romestant,Livet et Gavet,"Guerres ,  Grandes périodes",
2006,Mémoire n°31,Un accident du train de la société des VFD  Résumé,51 à 54,Gérard Mingat,"La Paute ,  Bourg d'Oisans",Voies de communication,
2007,Mémoire n°32,Femmes  Résumé,2,,Herbeys,Personnages remarquables,
2007,Mémoire n°32,Le tragique éboulement du 1er avril 1827 à Séchilienne  Résumé,03 à 04,Bernard Mingone,Séchilienne,Evènements,
2007,Mémoire n°32,Etrange détour dans la destinée d'un pionnier de l'Alpe d'Huez  Résumé,05 à 06,Roger Canac,L'Alpe d'Huez,Personnages remarquables,
2007,Mémoire n°32,Des nouvelles de 1903  Résumé,07 à 13,Jean Perrier,Grenoble,Activités industrielles,
2007,Mémoire n°32,Industries minières et métallurgiques tombées dans l'oubli à Vaulnaveys-le-Bas et à Uriage Résumé,14 à 17,"B ? Bronner ,  Claude Bronner","Uriage ,  Vaulnaveys le bas",Mines et minéralogie,
2007,Mémoire n°32,"L'électrification de Grenoble, un enjeu disputé  Résumé",18 à 22,Alain Romestant,Grenoble,Activités industrielles,
2007,Mémoire n°32,Vizille et ses commerces : un quartier dans la ville  Résumé,23 à 39,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
2007,Mémoire n°32,A lire... ou à danser  Résumé,40 à 42,,Pays vizillois,Vie de l'association,
2007,Mémoire n°32,100 ans d'école à Vizille - Encore des témoignages  Résumé,43,Danielle Amar,Vizille,Vie locale,
2007,Mémoire n°32,"Personnages et demeures de Jarrie, Bon Repos et la Valentine au temps des Vaucanson et Benoit Duperier  Résumé",44 à 52,Pierre Coing Boyat,Jarrie,"Bâtiments et édifices ,  Personnages remarquables",
2007,Mémoire n°32,Ils auraient 100 ans cette année - classe 1927 de Vizille  Résumé,55,Gérard Mingat,Vizille,"Vie locale ,  Personnages remarquables",
2007,Mémoire n°33,Structure et histoire géologique du plateau de champagnier  Résumé,04 à 11,Robert Aillaud,Champagnier,Mines et minéralogie,
2007,Mémoire n°33,Géologie et contruction  Résumé,12 à 16,Robert Aillaud,Champagnier,"Bâtiments et édifices ,  Mines et minéralogie",
2007,Mémoire n°33,Des passionnés d'aviation  Résumé,17 à 22,Alain Romestant,Vizille,Vie locale,
2007,Mémoire n°33,Vizille et ses commerces : dernière partie de la rue Général de Gaulle  Résumé,23 à 35,Jeannette Della-Vedova,Vizille,Vie locale,XXIe siècle
2007,Mémoire n°33,Année 1815 : le retour de Napoléon et son passage à Vizille  Résumé,36 à 44,Gilbert Gacon,Vizille,"Personnages remarquables ,  Evènements",
2007,Mémoire n°33,Les aventures du capitaine Randon en marge du passage de Napoléon à Vizille Résumé,45 à 46,Robert Aillaud,Vizille,"Personnages remarquables ,  Evènements",
2007,Mémoire n°33,Un peu de mémoire qui s'en va  Résumé,47,,,Actualités,
2007,Mémoire n°33,Edition  Résumé,48 à 52,,,Actualités,
2007,Mémoire n°33,Un vizillois Huguenot émigré en Prusse au XVIIe siècle  Résumé,53 à 54,Gérard Mingat,Vizille,Personnages remarquables,
2007,Mémoire n°33,A propos du chevalier Bayard et du chateau d'Uriage  Résumé,55,Geneviève Dumolard,Uriage,Bâtiments et édifices,
2008,Mémoire n°34,Encore deux nouvelles éditions  Résumé,3,Robert Aillaud,,Actualités,
2008,Mémoire n°34,"Vizille : foires, marchés, quinzaines commerciales, braderies  Résumé",04 à 15,Jeannette Della-Vedova,Vizille,Vie locale,XXe siècle
2008,Mémoire n°34,Du chateau médiéval au palais du Connétable  Résumé,16 à 18,Céline Laforest,Vizille,Bâtiments et édifices,
2008,Mémoire n°34,Le chateau de Vizille avant la Révolution Française  Résumé,19 à 20,Céline Laforest,Vizille,Bâtiments et édifices,
2008,Mémoire n°34,Fresque de la façade de l'école Jean Jaurès  Résumé,21,Yvette Bonnaire,Vizille,Vie locale,
2008,Mémoire n°34,Quand la restauration d'objets du patrimoins provoque une cérémonie officielle de l'église catholique Résumé,22 à 24,Patrice Dore,Vizille,"Bâtiments et édifices , Religions",
2008,Mémoire n°34,La mine de zinc de Laffrey : une ruineuse chimère  Résumé,25 à 27,Claude Bronner,Laffrey,Mines et minéralogie,
2008,Mémoire n°34,L'incendie du village de Montchaffrey  Résumé,28 à 29,Bernard Mingone,Montchaffrey,Evènements,
2008,Mémoire n°34,"Le tonneau de Diogène, Diogène le cynique  Résumé",30 à 31,Alain Romestant,,Personnages remarquables,
2008,Mémoire n°34,"Olivier Messiaen, l'un des plus grands musiciens du XXe siècle à Petichet  Résumé",32 à 39,Pierre Coing Boyat,Petichet,Personnages remarquables,
2008,Mémoire n°34,1816 : le coup d'état manqué de Jean-Paul Didier  Résumé,40 à 46,Gilbert Gacon,Pays vizillois,Evènements,
2008,Mémoire n°34,"Un peu de toponymie : chanse, chansure...  Résumé",47 à 49,André Frances,Pays vizillois,"Patois ,  Toponymie",
2008,Mémoire n°34,Un triste mois de janvier à Brié : le meurtre du café restaurant Vigier  Résumé,50 à 53,Pierre Melquiond,Brié,Actualités,
2008,Mémoire n°34,Actualités  Résumé,54,,,Actualités,
2008,Mémoire n°34,Les anciennes familles de Brié et Angonnes : la famille Ogier  Résumé,55,Pierre Melquiond,Brié et Angonnes,Personnages remarquables,
2008,Mémoire n°35,"La ferme ""présidentielle"" du chateau de Vizille  Résumé",04 à 08,Danielle Amar,Vizille,Bâtiments et édifices,
